T23
X521407,Y752822
X121939,Y548904
X297192,Y482398
X930300,Y107751
X920290,Y420353
X746823,Y404407
X735014,Y535638
X473767,Y429747
X229861,Y897843
X595546,Y713271
X191528,Y437391
X068907,Y148191
X100087,Y179799
X296752,Y180426
X039740,Y684738
X019127,Y438747
X832310,Y618704
X429908,Y744255
X412781,Y782365
X303954,Y958203
X960688,Y014654
X107237,Y154138
X407275,Y674401
X352470,Y514161
X225779,Y488923
X597472,Y759902
X117831,Y716138
X676992,Y053035
X151025,Y224780
X256458,Y243976
X528849,Y226799
X080325,Y856433
X914293,Y405303
X222253,Y661681
X114234,Y167011
X085983,Y238816
X207562,Y147066
X321278,Y772974
X346732,Y772580
X259336,Y832516
X952187,Y442080
X466200,Y872439
X909341,Y266399
X237634,Y422382
X569376,Y149792
X583385,Y642245
X965816,Y332488
X230151,Y194403
X947169,Y845637
X897426,Y674116
X617673,Y191207
X741144,Y446358
X977894,Y653209
X727291,Y490963
X263382,Y364211
X655232,Y782278
X338199,Y483241
X099934,Y440734
X399788,Y461980
X280225,Y905375
X083331,Y183103
X274858,Y164979
X995343,Y500458
X734558,Y266194
X952833,Y320295
X533926,Y070275
X604816,Y551495
X193069,Y261764
X947215,Y946600
X796752,Y468974
X676850,Y326693
X083125,Y037912
X025812,Y929265
X842292,Y406102
X337975,Y356037
X370293,Y555032
X671674,Y164982
X246291,Y030701
X448715,Y932138
X883689,Y538965
X174668,Y562195
X743011,Y004923
X500001,Y820019
X409682,Y191312
X639711,Y544232
X707402,Y033424
X338265,Y511728
X863290,Y133158
X357314,Y372445
X551553,Y686374
